country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,10.3,,13.6,18.6,,22.8,,21.8,21.2,,,,,22.5,,18.9,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,6.3,,,,,,,,17.7,,,,,,,13.7,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,75.1,,,60.1,,,,69.3,,,,,,,,,46,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,,,,78.9,,,,,,,55.4,81.3,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,60.5,,,,,53.1,,,,,54.9,,,,,57.1,57.1,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,48.2,48.2,,,,,,52.6,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,,,,,,,,,66.7,,,,,,,70.8,,,72.3,65.2,,,62,,,67.8,,,,66.9,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,71.4,,,,,,,,,,,,,,50.9,,,,,,,,,,,,,69.6,,,81,65.7,,71,,,,79,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,55.4,,,,,51.1,,,,,54.9,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,15.7,,19.7,,,9.1,,,,22.7,21.9,21.9,31.7,,,,28.5,28.5,,,
Belgium,,,,,,72,,,,,,,,,,87,,,,,,,81,,,,,,,,,78.4,,,,,56.5,,,,75.6,,,74.6,,,,,70.4,70.4,,,66.8,,,,,66.7,,
Benin,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,16.4,,,,,18.6,,,,,17,,,,,,12.9,,17.9,,,,15.5,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,11.9,,,,13.8,,,17.4,,,,16.2,16.2,,,20.8,20.8,25.5,25.4,31.7,32.5,30.1
Bangladesh,,,,,,,,,,,,,,,,7.7,,,,12.7,18.6,,,19.1,,25.3,,,30.8,,39.9,,,44.9,,,49.8,,,54.3,50.2,,,58.5,,,55.8,52.6,,,61.2,,61.8,62.3,,62.8,,61.9,62.7,
Bulgaria,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,85.9,,,63.4,,,,,,,64.4,,69.2,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,,,,61.8,,,,,53.4,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,35.7,,,,,,45.8,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,,,,72.6,,,,,,,63.1,,,,,71.2,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,56.1,,,,,,,34.3,,,,,55.2,,,,,51.4,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,30.3,,,,,45.3,,,,48.3,,53.4,,,58.4,58.4,,,,60.5,,,,,,,,66.5,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,,,,,59.2,,,,,76.7,,,,,,,,,,80.3,80.3,,,,,,80.2,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,55,,,,,,,,,,55,,,,,,,,,,,,,,59.2,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,30.7,,,,,,,,,,65.6,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,33,,,,,,,,47.2,,,,44.4,,,,,,,52.8,52.8,,,,,,,,,67.4,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,27.9,,,,,,19,,,,15.2,15.2,,,,,,,,17.8,
Canada,,,,,,,,,,,,,,,,,,,,,,,,73.1,,,,,,,,,,,74.7,,,80,,,,74,,,,85,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,71.2,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,72.9,,,,,71.6,,,
Chile,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,56,,,,,,,,,,,60.7,,,,,,,,,,,,,,,76.3,,,,
China,,,,,,,,,,,,,,,,,,,,,,69.5,,,,,,71.1,,,,84.6,,90.7,90.4,91.1,83.8,,83,83.8,86.9,,,,,84.6,,89.3,89,89.1,88.6,87.9,,,86.8,,84.5,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,11.4,,,,,15,,,,,,,12.9,,,,,,18.2,,,,15.5,23.6,23.3,,
Cameroon,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,16.1,,,,,,,19.3,,25.6,,,,26,,29.2,,,,,23.4,,,34.4,,,,19.3,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,25.8,15.4,,,,,,,7.7,,,,,,,,,,31.4,,,,,,20.6,,,17.7,,,,20.4,,,,28.1,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,,44.7,,,30.1,,,,,
Colombia,,,,,,,,,20.5,,,,,,,42.5,,46.1,,48.5,,,,,,64.8,,,,66.1,,,,,72.2,,,,,76.9,,,,,78.2,,,,,79.1,,,,,81,81,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,25.7,,,,,,,,,,,,19.4,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,23.8,,,,,,,,,52.9,,,,,,,61.3,,,,,,,,,,,,,55.8,,
Costa Rica,,,,,,,,,,,,,,,,64.4,64.4,63.8,,,65.2,,,,,69.5,,,,,,,75,,,,,,80,,,,,,96,,96,80,81.1,82.2,76.2,,,,77.8,,,70.9,,
Cuba,,,,,,,,,,,,,,,,,,,,60,,60,,,,,70,,,,,,,,,,,,,73.3,,,,,,72.6,77.1,,77.8,77.8,74.3,,,73.7,,,,,69,
Czech Republic,,,,,,,,,,66,,,,,,,95,,,,,,,,,,,,,,78,,68.9,,,,72,,,,,,,,78.2,,,86.3,,,,,,,,,,,,
Germany,,,,,,,,,,,70.1,82.2,,,,,,,,,,,,,77.9,,,,,,,70.1,,,,,,,,,,,,,66.2,,,50.7,,,80.3,,,,,,,67,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,17.8,,22.5,,,,19,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,62.3,62.3,,,,,49.8,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,67,,,,,63,,,,,,,,,,,,,78,,,,76.5,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,31.8,,,,,42,,,45.8,,,49.8,,,,,56.4,,,,,63.7,,,69.2,64.7,,69.8,,,,61.3,72.9,,,73,,,71.9,69.5,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,50.9,,,56.9,,,,,64,,57,,,,61.4,,,,,,55.9,57.1,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,33.6,33.6,,39.9,,,,,44.3,,52.9,,,,,56.8,,,,,65.8,,,,,72.7,,,,,,,,80.1,,,,,,,,
Egypt,,,,,,,,,,,,,,,24.9,,,,,31.4,,,,30.3,,,,37.8,37.8,,47.6,47.1,47.1,,47.9,47.9,54.5,54.5,,56.1,,,60,,59.2,,,60.3,,,,,,58.5,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,8,,,,,,,,8.4,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,47.1,,,,,,,,59.4,,,,,,,,,,81.1,,,,71.7,,,,,,,65.7,,,,,,,,72.7,,70.9,,72.2,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,,,,,,63.4,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,3.3,,,8.1,,,,,14.7,,,,,,28.6,,,42,37.9,35.9,36.6,40.1,41.4,
Finland,,,,,,,,,,,77,,,,,,80,,,,,,,,,,,,,77.4,,78.8,,,,,,,79.5,,,,,,,,74.2,,,,,,,,85.5,,,,,
Fiji,,,,,,,,,,,,,,40.9,,,,38,,,,,,,,,,,,,,,,,,,43.9,,,44,,35,,,,,43.1,,,31.8,,44.3,,,,,,,,
France,,,,,,,,,,,64,64,,,,,71,78.7,,,,,,,,,,81.2,,,,,,74.5,,,,,,81.8,,,,,76.6,,,76.4,,78.4,78.4,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,23,,,,,55,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,31.1,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,,,60.6,,,,,,,,,,61.4,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,77,,,,,,,83,,,81,,,69,,70,,82,,82,82,74,74,82,76,80,83,84,84,82,82,84,82,84,,,76.1,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,40.5,,,,,31.5,45.6,,,35.5,53.4,,,,,,,,40.6,,
Ghana,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,12.9,,,,10.5,20.3,20.3,,,,22,22,,,,25.2,,,16.6,,23.5,,,34.7,,19.8,26.7,34.7,30.6,30.8,27.2,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,,,,,,6.2,,,,6.5,,9.1,,,,,,,5.6,,,,8.7,,10.9,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,9.5,17.5,,,,,,,,,13.3,,,9,,,,,16.8,,18.9
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,10.3,,,,14.2,,,,16,,,,,20.6,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,12.6,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,77.2,,,,,,,,,,,,,,,,61.3,,76.2,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,54.3,,,,,,,,54,,,,,,,,54,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,18.1,,,,,25,,,,23.2,,,,,,,,31.4,,,,38.2,,,43.3,,,,,,,54.1,,,,,,60.6,,,,,
